title,total_sales,critic_score
.hack//G.U. Vol.2//Reminisce,0.23,6.2
.hack//G.U. Vol.3//Redemption,0.17,5.7
.hack//Infection Part 1,1.27,7.7
.hack//Mutation Part 2,0.68,7.5
.hack//Outbreak Part 3,0.46,7.1
.hack//Quarantine Part 4: The Final Chapter,0.18,6.8
007 Legends,0.13,4.2
007 Racing,0.53,6.1
007: Quantum of Solace,3.86,6.666666666666667
007: The World is Not Enough,1.55,7.4
007: The World is not Enough,0.92,6.4
007: Tomorrow Never Dies,3.21,6.2
100 Classic Books,0.67,4.0
18 Wheeler: American Pro Trucker,0.51,5.5
2002 FIFA World Cup,0.64,7.65
2010 FIFA World Cup South Africa,2.9699999999999998,7.55
2014 FIFA World Cup Brazil,1.1,7.6
2Xtreme,1.4,8.3
300: March to Glory,0.41,4.9
3D Baseball,0.03,7.6
3D Lemmings,0.06,7.0
3Xtreme,0.9,2.9
40 Winks,0.31,5.5
4X4 EVO 2,0.14,5.1
50 Cent: Blood on the Sand,0.4,7.25
50 Cent: Bulletproof,0.09,5.5
7 Wonders of the Ancient World,0.08,5.4
7th Dragon III Code: VFD,0.24,7.5
"999: Nine Hours, Nine Persons, Nine Doors",0.37,7.9
A Boy and His Blob,0.21,7.9
A Bug's Life,3.42,4.85
A Collection of Activision Classic Games for the Atari 2600,1.37,3.8
A Collection of Intellivision Classic Games,0.31,4.3
A Game of Thrones: Genesis,0.03,4.9
A Sound of Thunder,0.0,6.8
A Way Out,0.72,7.8
A Witch's Tale,0.11,5.0
A-Train,0.08,6.0
A-Train HX,0.0,2.0
AC/DC LIVE: Rock Band Track Pack,0.23,6.7
ARK: Survival Evolved,0.08,4.0
ATV Offroad Fury,2.41,8.4
ATV Offroad Fury 2,2.18,8.7
ATV Offroad Fury 3,1.2,7.5
ATV Offroad Fury Pro,0.46,7.6
ATV Offroad Fury: Blazin' Trails,0.57,5.9
ATV: Quad Power Racing,0.26,5.5
Academy of Champions: Soccer,0.12,7.1
Ace Attorney Investigations: Miles Edgeworth,0.7,7.7
Ace Combat: Assault Horizon,1.23,7.25
Ace Combat: Assault Horizon Legacy,0.25,7.0
Ace Combat: Joint Assault,0.29,7.0
Act of War: Direct Action,0.0,8.2
Act of War: High Treason,0.0,6.8
Action Bass,1.14,5.1
Activision Anthology,0.05,8.0
Activision Hits: Remixed,0.05,7.4
Adidas Power Soccer,0.04,7.0
Adidas Power Soccer 98,0.02,5.8
Adrenalin Misfits,0.14,4.7
Advance Guardian Heroes,0.04,7.0
Advance Wars,0.7,9.4
Advance Wars 2: Black Hole Rising,0.65,8.8
Advance Wars: Days of Ruin,0.61,8.4
Advance Wars: Dual Strike,0.39,9.0
Adventure Time: Explore the Dungeon Because I Don't Know!,0.04,2.8
Aedis Eclipse: Generation of Chaos,0.02,5.8
Aegis of Earth: Protonovus Assault,0.04,4.0
